Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00319604270984621,0.000952580504160319,-0.0748584628238553,0,0,0,58.2702221934855,2.50977836852613,-0.0278788848081822,-0.0232397715766107,8.54208982572135,0.00757783649274985,8.85684945868328,0,0,0,0,0,0,package://new_quadruped_model/meshes/base_link.STL,0,0,1,1,0,0,0,0,0,0,package://new_quadruped_model/meshes/base_link.STL,,baselink-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
Origin_front_left_1_link,0.000247714307506586,0.0941094041546214,-0.0119770547202342,0,0,0,0.304970103748024,0.00136373373495026,4.32313955882756E-06,-3.28972035853481E-06,0.000687814119901374,-0.000277848760253756,0.00121644402889806,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_front_left_1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_front_left_1_link.STL,,link1-1,Origin_front_left_1_joint,Origin_front_left_1_joint_Z_axis,Origin_front_left_1_joint,revolute,0.427,0.0750000000000976,-0.00949999999999962,0,1.5707963267949,0,base_link,0,0,-1,0,0,0,0,,,,,,,,0
Origin_front_left_2_link,0.187506681575293,0.000152013417313079,0.13386991692065,0,0,0,0.486930811330076,0.000969925345687586,8.01811467007424E-06,0.000354063571300029,0.0050187067549341,2.96194461570761E-06,0.00473617436454623,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_front_left_2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_front_left_2_link.STL,,link2-3,Origin_front_left_2_joint,Origin_front_left_1_joint_Y_axis,Origin_front_left_2_joint,revolute,0,0,0,-1.5707963267949,0,0,Origin_front_left_1_link,0,0,1,0,0,0,0,,,,,,,,0
Origin_front_left_3_link,0.152583885911219,-2.26840287578245E-05,0.226354407094949,0,0,0,0.116002654807761,4.60829736255365E-05,4.24384400233657E-07,-6.85665649153913E-05,0.00168906460747252,6.18912429818086E-08,0.00167946532458848,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_front_left_3_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_front_left_3_link.STL,,link3-5,Origin_front_left_3_joint,Origin_front_left_3_joint_Z_axis,Origin_front_left_3_joint,revolute,0.308000000000006,0,0,0,0,0,Origin_front_left_2_link,0,0,1,0,0,0,0,,,,,,,,0
Origin_lf_foot_link,0.0221255679127641,-1.2356782264078E-13,0.000498962524743102,0,0,0,0.0333197664210269,1.91262084856029E-05,-1.10716797319925E-18,-4.1175274841257E-20,1.36771166386416E-05,1.54280040652195E-10,1.3678084629463E-05,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_lf_foot_link.STL,0,0,0,1,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_lf_foot_link.STL,,link4-3,Origin_lf_foot_link,Origin_lf_foot_link_Z_axis,Origin_lf_foot_joint,fixed,0.307999999999999,0,0.230000000000086,0,0,0,Origin_front_left_3_link,0,0,0,,,,,,,,,,,,0
Origin_front_right_1_link,-0.000247714307486824,0.0841368643698331,0.0119770547202349,0,0,0,0.304970103748025,0.00136373373495027,-4.32313955885043E-06,-3.28972035852953E-06,0.000687814119901374,0.000277848760253758,0.00121644402889807,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_front_right_1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_front_right_1_link.STL,,link1-2,Origin_front_right_1_joint,Origin_front_right_1_joint_Z_axis,Origin_front_right_1_joint,revolute,0.427,-0.0749999999999021,-0.00949999999999962,3.14159265358979,1.5707963267949,0,base_link,0,0,1,0,0,0,0,,,,,,,,0
Origin_front_right_2_link,0.187506681575299,0.000152013417317409,0.123897377135857,0,0,0,0.486930811330075,0.000969925345687606,8.01811467007651E-06,0.000354063571300137,0.00501870675493408,2.96194461570827E-06,0.00473617436454618,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_front_right_2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_front_right_2_link.STL,,link2-4,Origin_front_right_2_joint,Origin_front_right_1_joint_Y_axis,Origin_front_right_2_joint,revolute,0,0,0,-1.5707963267949,0,0,Origin_front_right_1_link,0,0,-1,0,0,0,0,,,,,,,,0
Origin_front_right_3_link,0.152583885911309,-2.26840290163954E-05,0.216381867310195,0,0,0,0.116002654807761,4.60829736255325E-05,4.24384400234137E-07,-6.85665649153433E-05,0.00168906460747252,6.18912429817708E-08,0.00167946532458849,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_front_right_3_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_front_right_3_link.STL,,link3-1,Origin_front_right_3_joint,Origin_front_right_3_joint_Z_axis,Origin_front_right_3_joint,revolute,0.308000000000005,0,0,0,0,0,Origin_front_right_2_link,0,0,-1,0,0,0,0,,,,,,,,0
Orgin_rf_foot_link,0.0221255679128463,-4.48918680007182E-13,-1.03747540419752E-06,0,0,0,0.0333197664210272,1.91262084856031E-05,-1.01620135634286E-18,-1.13774096718812E-19,1.36770969232498E-05,-6.57975367446947E-11,1.36781043448551E-05,0,0,0,0,0,0,package://new_quadruped_model/meshes/Orgin_rf_foot_link.STL,0,0,0,1,0,0,0,0,0,0,package://new_quadruped_model/meshes/Orgin_rf_foot_link.STL,,link4-4,Origin_rf_foot_link,Origin_rf_foot_link_Z_axis,Orgin_rf_foot_link,fixed,0.308000000000011,0,0.220527460215484,0,0,0,Origin_front_right_3_link,0,0,0,,,,,,,,,,,,0
Origin_rear_left_1_link,-0.000247714307496372,0.0941094041546666,0.0119770547202347,0,0,0,0.304970103748024,0.00136373373495027,-4.32313955881019E-06,-3.28972035854408E-06,0.000687814119901373,0.000277848760253761,0.00121644402889808,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_rear_left_1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_rear_left_1_link.STL,,link1-3,Origin_rear_left_1_joint,Origin_rear_left_1_joint_Z_axis,Origin_rear_left_1_joint,revolute,-0.427,0.0750000000000976,-0.00949999999999962,0,1.5707963267949,0,base_link,0,0,1,0,0,0,0,,,,,,,,0
Origin_rear_left_2_link,0.187506681575296,0.000152013417306807,0.133869916920702,0,0,0,0.486930811330073,0.000969925345687563,8.01811467010828E-06,0.000354063571299921,0.0050187067549341,2.9619446157063E-06,0.00473617436454625,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_rear_left_2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_rear_left_2_link.STL,,link2-2,Origin_rear_left_2_joint,Origin_rear_left_1_joint_Y_axis,Origin_rear_left_2_joint,revolute,0,0,0,-1.5707963267949,0,0,Origin_rear_left_1_link,0,0,1,0,0,0,0,,,,,,,,0
Origin_rear_left_3_link,0.152583885911211,-2.26840287571584E-05,0.226354407095016,0,0,0,0.11600265480776,4.60829736255401E-05,4.2438440021963E-07,-6.85665649154356E-05,0.0016890646074725,6.18912429811481E-08,0.00167946532458846,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_rear_left_3_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_rear_left_3_link.STL,,link3-4,Origin_rear_left_3_joint,Origin_rear_left_3_joint_Z_axis,Origin_rear_left_3_joint,revolute,0.308000000000009,0,0,0,0,0,Origin_rear_left_2_link,0,0,-1,0,0,0,0,,,,,,,,0
Origin_rl_foot_link,0.0221255679127608,-7.78266340262235E-14,0.000498962524817903,0,0,0,0.0333197664210269,1.91262084856029E-05,-9.36069319751707E-19,2.29152582544401E-19,1.36771764043415E-05,-2.7943342854966E-10,1.36780248637631E-05,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_rl_foot_link.STL,0,0,0,1,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_rl_foot_link.STL,,link4-1,Origin_rl_foot_link,Origin_rl_foot_link_Z_axis,Origin_rl_foot_joint,fixed,0.307999999999997,0,0.230000000000079,0,0,0,Origin_rear_left_3_link,0,0,0,,,,,,,,,,,,0
Origin_rear_right_1_link,0.000247714307518576,0.0941094041545925,-0.011977054720235,0,0,0,0.304970103748023,0.00136373373495026,4.32313955881917E-06,-3.28972035854518E-06,0.00068781411990137,-0.000277848760253755,0.00121644402889807,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_rear_right_1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_rear_right_1_link.STL,,link1-4,Origin_rear_right_1_joint,Origin_rear_right_1_joint_Z_axis,Origin_rear_right_1_joint,revolute,-0.427,-0.0749999999999024,-0.00949999999999962,3.14159265358979,1.5707963267949,0,base_link,0,0,-1,0,0,0,0,,,,,,,,0
Origin_rear_right_2_link,0.187506681575252,0.000152013417173247,0.133869916920617,0,0,0,0.486930811330072,0.000969925345687601,8.01811467007303E-06,0.00035406357130014,0.00501870675493407,2.96194461570954E-06,0.00473617436454617,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_rear_right_2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_rear_right_2_link.STL,,link2-1,Origin_rear_right_2_joint,Origin_rear_right_1_joint_Y_axis,Origin_rear_right_2_joint,revolute,0,0,0,-1.5707963267949,0,0,Origin_rear_right_1_link,0,0,1,0,0,0,0,,,,,,,,0
Origin_rear_right_3_link,0.152583885911224,-2.26840287968488E-05,0.226354407094913,0,0,0,0.11600265480776,4.60829736255362E-05,4.24384400233379E-07,-6.856656491539E-05,0.00168906460747251,6.18912429816819E-08,0.00167946532458847,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_rear_right_3_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_rear_right_3_link.STL,,link3-2,Origin_rear_right_3_joint,Origin_rear_right_3_joint_Z_axis,Origin_rear_right_3_joint,revolute,0.308000000000001,0,0,0,0,0,Origin_rear_right_2_link,0,0,1,0,0,0,0,,,,,,,,0
Origin_rr_foot_link,0.0221255679127701,-1.61870516990348E-13,0.00997150230934357,0,0,0,0.0333197664210268,1.91262084856029E-05,-9.50892133579924E-19,6.76676737434606E-20,1.36771718665691E-05,-2.72419408154102E-10,1.36780294015354E-05,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_rr_foot_link.STL,0,0,0,1,0,0,0,0,0,0,package://new_quadruped_model/meshes/Origin_rr_foot_link.STL,,link4-2,Origin_rr_foot_link,Origin_rr_foot_link_Z_axis,Origin_rr_foot_joint,fixed,0.308,0,0.220527460215452,0,0,0,Origin_rear_right_3_link,0,0,0,,,,,,,,,,,,0
